Time [s],Channel 0,Channel 1
0.126568583,0,1
0.126568667,0,0
0.126568750,0,1
0.126568833,0,0
0.126568917,0,1
0.126569000,0,0
0.126569083,0,1
0.126569167,0,0
0.126569250,0,1
0.126569333,0,0
0.126569417,0,1
0.126569500,0,0
0.126569583,0,1
0.126569750,0,0
0.126569917,0,1
0.126570083,0,0
0.126570167,0,1
0.126570250,0,0
0.126570417,0,1
0.126570500,0,0
0.126570583,0,1
0.126570667,0,0
0.126570750,0,1
0.126570917,0,0
0.126571083,0,1
0.126571250,0,0
0.126571417,0,1
0.126571500,0,0
0.126571583,0,1
0.126571667,0,0
0.126571750,0,1
0.126571833,0,0
0.126571917,0,1
0.126572000,0,0
0.126572083,0,1
0.126572250,0,0
0.126572333,0,1
0.126572417,0,0
0.126572583,0,1
0.126572667,0,0
0.126572750,0,1
0.126572917,0,0
0.126573083,0,1
0.126573167,0,0
0.126573250,0,1
0.126573417,0,0
0.126573583,0,1
0.126573750,0,0
0.126573833,0,1
0.126573917,0,0
0.126574083,0,1
0.126574167,0,0
0.126574250,0,1
0.126574333,0,0
0.126574417,0,1
0.126574500,0,0
0.126574583,0,1
0.126574667,0,0
0.126574750,0,1
0.126574833,0,0
0.126574917,0,1
0.126575083,0,0
0.126575250,0,1
0.126575333,0,0
0.126575417,0,1
0.126575500,0,0
0.126575583,0,1
0.126575667,0,0
0.126575750,0,1
0.126575833,0,0
0.126575917,0,1
0.126576000,0,0
0.126576083,0,1
0.126576167,0,0
0.126576250,0,1
0.126576333,0,0
0.126576417,0,1
0.126576583,0,0
0.126576750,0,1
0.126576917,0,0
0.126577083,0,1
0.126577250,0,0
0.126577333,0,1
0.126577417,0,0
0.126577500,0,1
0.126577583,0,0
0.126577667,0,1
0.126577750,0,0
0.126577833,0,1
0.126577917,0,0
0.126578000,0,1
0.126578083,0,0
0.126578250,0,1
0.126578417,0,0
0.126578500,0,1
0.126578583,0,0
0.126578750,0,1
0.126578833,0,0
0.126578917,0,1
0.126579083,0,0
0.126579250,0,1
0.126579417,0,0
0.126579500,0,1
0.126579583,0,0
0.126579750,0,1
0.126579917,0,0
0.126580083,0,1
0.126580250,0,0
0.126580417,0,1
0.126580583,0,0
0.126580750,0,1
0.126580833,0,0
0.126580917,0,1
0.126581083,0,0
0.126581250,0,1
0.126581417,0,0
0.126581583,0,1
0.126581667,0,0
0.126581750,0,1
0.126581917,0,0
0.126582083,0,1
0.126582167,0,0
0.126582250,0,1
0.126582417,0,0
0.126582583,0,1
0.126582750,0,0
0.126582917,0,1
0.126583083,0,0
0.126583250,0,1
0.126583333,0,0
